Publication_Name,Country,Website,Google_Search,Isr_Cov_Actual
Epoch Times,USA,https://www.theepochtimes.com,https://www.google.com/search?q=site:https://www.theepochtimes.com+Israel,
Federal News Network,USA,https://federalnewsnetwork.com,https://www.google.com/search?q=site:https://federalnewsnetwork.com+Israel,
Forbes,USA,https://www.forbes.com,https://www.google.com/search?q=site:https://www.forbes.com+Israel,
Fortune,USA,https://www.fortune.com,https://www.google.com/search?q=site:https://www.fortune.com+Israel,
Fox News,USA,https://www.foxnews.com,https://www.google.com/search?q=site:https://www.foxnews.com+Israel,
Fremont Tribune,USA,https://www.fremonttribune.com,https://www.google.com/search?q=site:https://www.fremonttribune.com+Israel,
GlobalPost,USA,https://theworld.org/sections/globalpost,https://www.google.com/search?q=site:https://theworld.org/sections/globalpost+Israel,
Hawaii News Now,USA,https://www.hawaiinewsnow.com,https://www.google.com/search?q=site:https://www.hawaiinewsnow.com+Israel,
Hawaii Tribune-Herald,USA,https://www.hawaiitribune-herald.com,https://www.google.com/search?q=site:https://www.hawaiitribune-herald.com+Israel,
Houston Chronicle,USA,https://www.houstonchronicle.com,https://www.google.com/search?q=site:https://www.houstonchronicle.com+Israel,
Indian Country Today,USA,https://indiancountrytoday.com,https://www.google.com/search?q=site:https://indiancountrytoday.com+Israel,
Indianapolis Recorder,USA,https://indianapolisrecorder.com,https://www.google.com/search?q=site:https://indianapolisrecorder.com+Israel,
Indianapolis Star,USA,https://www.indystar.com,https://www.google.com/search?q=site:https://www.indystar.com+Israel,
Liberation News,USA,https://www.liberationnews.org,https://www.google.com/search?q=site:https://www.liberationnews.org+Israel,
Los Angeles Times,USA,https://www.latimes.com,https://www.google.com/search?q=site:https://www.latimes.com+Israel,
MarketWatch,USA,https://www.marketwatch.com,https://www.google.com/search?q=site:https://www.marketwatch.com+Israel,
Miami Herald,USA,https://www.miamiherald.com,https://www.google.com/search?q=site:https://www.miamiherald.com+Israel,
Miami Times,USA,https://www.miamitimesonline.com,https://www.google.com/search?q=site:https://www.miamitimesonline.com+Israel,
Mint Press News,USA,https://www.mintpressnews.com,https://www.google.com/search?q=site:https://www.mintpressnews.com+Israel,
Nasdaq,USA,https://www.nasdaq.com,https://www.google.com/search?q=site:https://www.nasdaq.com+Israel,
National Public Radio (NPR),USA,https://www.npr.org,https://www.google.com/search?q=site:https://www.npr.org+Israel,
NBC News,USA,https://www.nbcnews.com,https://www.google.com/search?q=site:https://www.nbcnews.com+Israel,
New York Post,USA,https://nypost.com,https://www.google.com/search?q=site:https://nypost.com+Israel,
New York Times,USA,https://www.nytimes.com,https://www.google.com/search?q=site:https://www.nytimes.com+Israel,
News Tribune,USA,https://www.newstribune.com,https://www.google.com/search?q=site:https://www.newstribune.com+Israel,
Newsday,USA,https://www.newsday.com,https://www.google.com/search?q=site:https://www.newsday.com+Israel,
Norman Transcript,USA,https://www.normantranscript.com,https://www.google.com/search?q=site:https://www.normantranscript.com+Israel,
Politico,USA,https://www.politico.com,https://www.google.com/search?q=site:https://www.politico.com+Israel,
Radio Free Asia,USA,https://www.rfa.org,https://www.google.com/search?q=site:https://www.rfa.org+Israel,
RFE/RL,USA,https://www.rferl.org,https://www.google.com/search?q=site:https://www.rferl.org+Israel,
Salt Lake Tribune,USA,https://www.sltrib.com,https://www.google.com/search?q=site:https://www.sltrib.com+Israel,
Stratfor,USA,https://www.stratfor.com,https://www.google.com/search?q=site:https://www.stratfor.com+Israel,
The New York Times,USA,https://www.nytimes.com,https://www.google.com/search?q=site:https://www.nytimes.com+Israel,
The Wall Street Journal,USA,https://www.wsj.com,https://www.google.com/search?q=site:https://www.wsj.com+Israel,
The Washington Post,USA,https://www.washingtonpost.com,https://www.google.com/search?q=site:https://www.washingtonpost.com+Israel,
USA Today,USA,https://www.usatoday.com,https://www.google.com/search?q=site:https://www.usatoday.com+Israel,
Washington Post,USA,https://www.washingtonpost.com,https://www.google.com/search?q=site:https://www.washingtonpost.com+Israel,
